Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0D4,0200,0D4,0000,000,0000,000,0000,0000,004,0100
0D4,0200,0D5,0200,0D4,0200,000,00D4,0000,004,0100
0D5,EE1A,0D6,EE1A,0F0,0000,000,001A,0000,004,0100,0F0,0000
0D6,AE18,0D7,AE18,0EF,0000,000,0018,0000,004,0100
0D7,0C00,0D8,0C00,7FF,0000,7FF,00D7,0000,004,0100,7FF,0000
0D8,D654,654,D654,7FE,00D9,7FE,D654,0000,004,0100,7FE,00D9
654,AC01,655,AC01,7FF,0000,7FE,0001,0000,004,0100
655,F206,656,F206,655,F206,7FE,0655,0000,004,0100
656,F005,65C,F005,656,F005,7FE,0005,0000,004,0100
65C,AE02,65D,AE02,65F,0FD9,7FE,0002,0FD9,000,0000
65D,EC01,65E,EC01,7FF,0FD9,7FE,0001,0FD9,000,0000,7FF,0FD9
65E,0A00,0D9,0A00,7FE,00D9,7FF,065E,0FD9,000,0000
0D9,0800,0DA,0800,7FF,0FD9,000,00D9,0FD9,000,0000
0DA,4E15,0DB,4E15,0F0,0000,000,0015,0FD9,000,0000
0DB,EE14,0DC,EE14,0F0,0FD9,000,0014,0FD9,000,0000,0F0,0FD9
0DC,AE10,0DD,AE10,0ED,0000,000,0010,0000,004,0100
0DD,0740,0DE,0740,0DD,0740,000,00DD,FFFF,008,1000
0DE,0C00,0DF,0C00,7FF,FFFF,7FF,00DE,FFFF,008,1000,7FF,FFFF
0DF,D654,654,D654,7FE,00E0,7FE,D654,FFFF,008,1000,7FE,00E0
654,AC01,655,AC01,7FF,FFFF,7FE,0001,FFFF,008,1000
655,F206,65C,F206,655,F206,7FE,0006,FFFF,008,1000
65C,AE02,65D,AE02,65F,0FD9,7FE,0002,0FD9,000,0000
65D,EC01,65E,EC01,7FF,0FD9,7FE,0001,0FD9,000,0000,7FF,0FD9
65E,0A00,0E0,0A00,7FE,00E0,7FF,065E,0FD9,000,0000
0E0,0800,0E1,0800,7FF,0FD9,000,00E0,0FD9,000,0000
0E1,0700,0E2,0700,0E1,0700,000,00E1,0FDA,000,0000
0E2,6E0D,0E3,6E0D,0F0,0FD9,000,000D,0001,001,0001
0E3,EE0C,0E4,EE0C,0F0,0001,000,000C,0001,001,0001,0F0,0001
0E4,AE09,0E5,AE09,0EE,0000,000,0009,0000,005,0101
0E5,0740,0E6,0740,0E5,0740,000,00E5,FFFF,008,1000
0E6,0C00,0E7,0C00,7FF,FFFF,7FF,00E6,FFFF,008,1000,7FF,FFFF
0E7,D654,654,D654,7FE,00E8,7FE,D654,FFFF,008,1000,7FE,00E8
654,AC01,655,AC01,7FF,FFFF,7FE,0001,FFFF,008,1000
655,F206,65C,F206,655,F206,7FE,0006,FFFF,008,1000
65C,AE02,65D,AE02,65F,0FD9,7FE,0002,0FD9,000,0000
65D,EC01,65E,EC01,7FF,0FD9,7FE,0001,0FD9,000,0000,7FF,0FD9
65E,0A00,0E8,0A00,7FE,00E8,7FF,065E,0FD9,000,0000
0E8,0800,0E9,0800,7FF,0FD9,000,00E8,0FD9,000,0000
0E9,0700,0EA,0700,0E9,0700,000,00E9,0FDA,000,0000
0EA,6E05,0EB,6E05,0F0,0001,000,0005,0FD9,001,0001
0EB,EE04,0EC,EE04,0F0,0FD9,000,0004,0FD9,001,0001,0F0,0FD9
0EC,0100,0ED,0100,0EC,0100,000,00EC,0FD9,001,0001
